ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u139	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SD	Socialni demokrati	Coalition	Katič, Andreja	F	1969
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u140	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Irgl, Eva	F	1976
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u141	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SD	Socialni demokrati	Coalition	Katič, Andreja	F	1969
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u142	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Tanko, Jože	M	1956
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u143	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SD	Socialni demokrati	Coalition	Katič, Andreja	F	1969
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u144	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	Levica	Združena levica	Opposition	Trček, Franc	M	1969
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u145	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SD	Socialni demokrati	Coalition	Katič, Andreja	F	1969
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u146	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	SMC	Stranka Mira Cerarja	Coalition	Verbič, Dušan	M	1952
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u147	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Chairperson	MP	SD	Socialni demokrati	Coalition	Katič, Andreja	F	1969
ParlaMint-SI_2014-11-20-SDZ7-Redna-02.u148	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 2, 20.11.2014	2014-11-20	2014-11-20	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Bah Žibert, Anja	F	1973
